Country,1,2,3,4,5
Afghanistan,,,,,
Albania,Ronaldo,Van Dijk,Messi,Alisson,Salah
Algeria  ,Mane ,Messi ,Mahrez,Van Dijk,Aguero
American Samoa ,,,,,
Andorra ,Messi ,Salah ,Mbappe,De Jong,Ronaldo
Angola ,Van Dijk ,Ronaldo,Messi,Salah,Mane
Argentina ,Messi ,Ronaldo,Aguero,Van Dijk ,Benzema
Armenia ,Ronaldo ,Messi ,Van Dijk,Salah,Mbappe
Aruba,Messi ,Mane ,Ronaldo,Van Dijk ,Wjinaldum
Australia,Messi ,Van Dijk ,Ronaldo,Sterling,Mane
Austria ,Mane ,Messi ,Ronaldo,Van Dijk ,Salah
Azerbaijan ,Van Dijk,Mane ,Salah,Messi,Ronaldo
Bahrein ,Van Dijk ,Ronaldo,Messi,Salah,Mane
Barbados ,Ronaldo ,Alisson ,Van Dijk,Messi,Salah
Bangladesh ,,,,,
Belarus ,Van Dijk ,Messi ,Ronaldo ,Lewandowski,Mane
Belgium,Van Dijk ,Messi ,Salah,Ronaldo,Hazard
Belize,Messi ,Ronaldo ,Van Dijk,Griezmann,Mane
Benin ,Mane ,Alisson ,Van Dijk,Ronaldo,Messi
Bermuda,Salah ,Van Dijk,Mbappe,Ronaldo,Messi
Bolivia ,Messi ,Mbappe ,Ronaldo,Van Dijk,Griezmann
Bosnia,Van Dijk ,Messi ,Salah,De Jong,Son
Botswana ,,,,,
Bhutan,Mane ,Van Dijk ,Salah,Alisson,Firmino
Brazil ,Messi ,Mane ,Van Dijk,Ronaldo,De Jong
Bulgaria ,Van Dijk ,Ronaldo,Messi,Mbappe,Mahrez
Burkina Faso ,Mane,Messi ,Ronaldo,Hazard,Mbbape
Burundi,Messi ,Mane ,Ronaldo ,Mbappe ,Van Dijk
Cambodia ,Van Dijk ,Ronaldo ,Lewanodwski,Mbappe,Messi
Cameroon ,Van Dijk ,Salah ,Mane,Alisson,Alexander-Arnold
Canada ,Van Dijk ,Messi ,Ronaldo,Hazard,Salah
Cape Verde ,Messi ,Ronaldo ,Van Dijk,Mane,Sterling
Cayman Islands,Van Dijk ,Messi ,Ronaldo,Mane,De Ligt
Central African Republic,Mane ,Ronaldo ,Mbappe,Messi,Bernardo Silva
Chad ,Ronaldo ,Mbappe ,Messi,Mane,Salah
Chile ,Van Dijk ,Ronaldo,Hazard,Messi,De Ligt
China PR ,Van Dijk ,Messi ,Mane,Ronaldo,Alisson
Chinese Taipei ,,,,,
Colombia,Van Dijk ,Ronaldo ,Messi,Mahrez,Mbappe
Comoros ,,,,,
Congo ,Van Dijk ,Mane ,Salah,Messi,Ronaldo
Congo DR ,Mane ,Van Dijk ,Messi,Salah,Ronaldo
Cook Islands,Messi,Ronaldo ,Salah,Mbappe,Hazard
Costa Rica ,Messi ,Van Dijk,Mane,Bernardo Silva,Ronaldo
C̫te d'Ivoire ,Alisson ,Mane ,Mahrez,Van Dijk,Mbappe
Croatia ,Ronaldo,Alisson ,Aguero,Van Dijk,Mbappe
Cuba,Messi ,Van Dijk ,Ronaldo,Mbappe,Mane
Curacao,,,,,
Cyprus ,Van Dijk ,Mane ,De Jong,Ronaldo,Lewandowski
Czech Republic,Van Dijk,Messi ,Mbappe,Ronaldo,Lewandowski
Denmark ,Messi ,Van Dijk ,Ronaldo,Sterling,Mane
Dominican Republic ,Messi ,Mane,Ronaldo,Mbappe,Alisson
Djibouti ,Mane ,Messi ,Salah,Van Dijk,Ronaldo
Ecuador ,Mane ,Van Dijk ,Ronaldo,Messi,Hazard
Egypt ,Salah ,Mane ,Ronaldo,Messi,Van Dijk
El Salvador ,Van Dijk ,Bernardo Silva ,Mane,Firmino,Ronaldo
England ,Van Dijk ,Messi ,Ronaldo,Sterling,Alisson
Equitorial Guinea ,Messi ,De Bruyne ,Salah,Mane,Lewandowski
Eritrea ,Van Dijk ,Mbappe ,Messi,Mane,Aubameyang
Estonia ,Van Dijk,Messi,Ronaldo,Bernardo Silva,De Jong
Eswatini ,Van Dijk ,Mane ,Messi,Salah,Bernardo Silva
Ethiopia ,Van Dijk ,Messi ,Ronaldo,Salah ,Mane
Faroe Islands ,Messi ,Van Dijk ,Ronaldo,Mane,Sterling
Finland ,Van Dijk,Messi,Ronaldo ,Tadic,Son
France ,Mane ,Messi ,Van Dijk,Ronaldo,Bernardo Silva
FYR Macedonia ,Messi ,Salah ,Ronaldo,Alisson,Van Dijk
Gabon ,Mane ,Messi ,Ronaldo,Van Dijk,Mbappe
Gambia ,Mane ,Messi ,Ronaldo,Van Dijk,Salah
Georgia ,Ronaldo ,Messi ,Van Dijk,Mane,De Bruyne
Germany ,Lewandowski ,Mane ,Van Dijk,Mbappe,Messi
Ghana ,Messi ,Van Dijk ,Ronaldo,Mane,Sterling
Gibraltar,,,,,
Greece,Van Dijk ,Mane,Ronaldo,Messi,Son
Grenada ,Messi ,Ronaldo ,Van Dijk,Mbappe,Sterling
Guam ,,,,,
Guatemala ,Alisson ,Van Dijk ,De Jong,Firmino,Salah
Guinea-Bissau ,Messi ,Ronaldo,Mane,Bernardo Silva,Van Dijk
Guinea ,Mane ,Van Dijk ,Salah,Ronaldo,Messi
Guyana ,,,,,
Haiti ,Messi ,Van Dijk ,Alisson,Mane,Ronaldo
Honduras ,Messi ,Ronaldo ,Lewandowski,De Ligt,Mane
Hong Kong Chi ,Van Dijk ,Messi ,Mane,Ronaldo,Hazard
Hungary ,Van Dijk ,Mane ,Messi,Ronaldo,Lewandowski
Iceland ,Van Dijk ,Messi ,Ronaldo,Salah,Mbappe
India ,Messi ,Van Dijk ,Mane,Salah,Ronaldo
Indonesia ,Messi ,Van Dijk,Ronaldo ,Salah,Mane
Iran ,Messi ,Mane ,Van Dijk,De Jong,Alisson
Iraq ,Van Dijk ,Mane,Salah,Messi,Ronaldo
Israel ,Van Dijk ,Messi,Ronaldo,Alisson,Salah
Italy ,Van Dijk ,De Jong ,Ronaldo,Messi,Mane
Jamaica,Ronaldo ,Messi ,Van Dijk,Salah,Bernardo Silva
Japan ,Van Dijk ,Ronaldo,Mane,Messi,Mahrez
Jordan ,Van Dijk ,Messi ,Ronaldo,Salah,Mbappe
Kazakhstan ,Salah ,Hazard ,Messi,Van Dijk,Ronaldo
Kenya ,Van Dijk ,Messi ,Ronaldo,Sterling,Mahrez
Khirghiztan ,Mbappe ,Van Dijk,Ronaldo,Firmino,Messi
Korea Republic ,Van Dijk ,Messi ,Mane,Bernardo Silva,Son
Kosovo ,Messi ,Salah,Ronaldo,Bernardo Silva,Firmino
Kuwait ,Messi ,Ronaldo ,Van Dijk,Mane,Mbappe
Latvia ,,,,,
Lebanon ,Messi ,Mahrez ,Van Dijk,Ronaldo,Alisson
Liberia ,Ronaldo ,Mane ,Salah,Messi,Alisson
Liechtenstein ,Mane ,Hazard ,Messi,De Ligt,Ronaldo
Lithuania ,Messi ,Van Dijk ,Ronaldo,Mbappe,Mane
Luxembourg ,Messi,Mane,Mbappe,Ronaldo,Van Dijk
Lybia ,Messi ,Ronaldo ,Mane,Aguero,Hazard
Macau ,Ronaldo ,Van Dijk ,Salah,Bernardo Silva,Messi
Madagascar ,Salah ,Messi ,Mane,Ronaldo,De Jong
Malawi ,Messi ,Ronaldo ,Van Dijk,Mane,Sterling
Maldives ,Messi ,Van Dijk ,Ronaldo,Salah,De Bruyne
Maleysia ,Van Dijk ,Ronaldo ,Mane ,Messi ,Firmino
Mali ,,,,,
Malta ,Van Dijk,Messi,Ronaldo,Mane,Lewandowski
Mauritania ,Van Dijk ,Mane ,Ronaldo,De Bruyne,Messi
Mauritius ,Van Dijk ,Mane ,Messi,De Bruyne,Mbappe
Mexico ,Messi ,Ronaldo ,Van Dijk,Mane,Salah
Moldova ,Van Dijk ,Ronaldo ,Messi,Lewandowski,Mbappe
Mongolia ,Van Dijk ,Messi ,Mane,Salah,Ronaldo
Montenegro ,Van Dijk ,Mane,Messi ,Ronaldo,Tadic
Morocco ,Messi ,Mane ,Ronaldo,Mahrez,Mbappe
Mozambique ,Messi ,Mbappe ,Salah,Griezmann,Ronaldo
Namibia ,Messi ,Mane ,Alisson,Salah,Van Dijk
Nepal ,Van Dijk ,Messi ,Mane,De Jong,Ronaldo
Netherlands ,Van Dijk ,Messi ,Ronaldo,De Jong,Alisson
New Caledonia ,Messi ,Van Dijk ,Ronaldo,Mane,De Jong
New Zealand ,Messi ,Van Dijk,Ronaldo,Mane,Salah
Nicaragua ,Ronaldo,Messi,Van Dijk,Mane,Lewandowski
Niger ,Mane ,Messi ,Van Dijk,Salah,Ronaldo
Nigeria ,Messi ,Van Dijk ,Ronaldo,Mbappe,Mane
Northern Ireland ,Van Dijk ,Messi,Ronaldo,Mane,De Ligt
Norway ,Van Dijk ,Messi ,Sterling,Ronaldo,Mane
Oman ,Ronaldo ,Van Dijk ,Messi,Salah,Mane
Pakistan ,Messi ,Van Dijk ,Lewandowski,Mane,Sterling
Palestine ,Ronaldo ,Messi ,Salah,Van Dijk,Mahrez
Panama ,Messi ,Van Dijk ,Mane,Salah,Ronaldo
Paraguay ,Messi ,Ronaldo ,Van Dijk,Salah,Sterling
Peru ,Van Dijk,Messi ,Ronaldo,Salah,Mbappe
Philippines ,Van Dijk ,Messi ,Alisson,Sterling,Ronaldo
Poland ,Lewandowski ,Messi ,Van Dijk,Ronaldo,Salah
Portugal ,Ronaldo ,Mane ,Messi,Van Dijk,Bernardo Silva
Puerto Rico ,Messi ,Van Dijk ,Ronaldo,Alisson,Salah
Qatar ,Messi ,Ronaldo ,Van Dijk,Salah,Mahrez
Republic of Ireland ,Van Dijk ,Mane ,Messi,Ronaldo,Bernardo Silva
Romania ,Messi ,Van Dijk ,Mane,Ronaldo,Mbappe
Russia ,Ronaldo ,Van Dijk ,Messi,Bernardo Silva,Mane
Rwanda ,Messi,Mane ,Van Dijk,Ronaldo,Salah
San Marino ,Van Dijk ,Ronaldo ,Alisson,Messi,Hazard
Sao Tome and Principe ,Messi ,Ronaldo ,Mane,Bernardo Silva,Hazard
Saudi Arabia ,Ronaldo ,Messi ,Bernardo Silva,Mahrez,Salah
Scotland ,Van Dijk ,Messi ,Ronaldo,De Bruyne,De Ligt
Senegal ,Mane ,Messi ,Salah,Koulibaly,Van Dijk
Serbia ,Messi ,Alisson ,Lewandowski,Tadic,Mahrez
Seychelles,Messi ,Van Dijk ,Ronaldo,Mane,Salah
Sierra Leone ,Messi,Van Dijk ,Mane,Ronaldo,Salah
Singapore ,Van Dijk ,Ronaldo,Messi,Mane,Alexander-Arnold
Slovakia ,Messi,Ronaldo,Van Dijk ,Salah,Mbappe
Slovenia ,Mbappe ,Ronaldo ,Hazard,Lewandowski,Van Dijk
Solomon Islands ,,,,,
Somalia ,,,,,
South Africa ,Messi,Van Dijk ,Ronaldo,Mane,De Bruyne
South Sudan ,Van Dijk ,Mane,Salah,Messi,Ronaldo
Spain ,Van Dijk ,Ronaldo,Messi,Mane,Mbappe
Sri Lanka,Alexander-Arnold ,Aubameyang ,Griezmann,Lewandowski,Ter Stegen
St. Lucia ,,,,,
Sudan ,Messi,Van Dijk,Mane,Salah,Ronaldo
Suriname ,Ronaldo ,Van Dijk ,Messi,Alisson,Sterling
Swaziland ,,,,,
Sweden ,Van Dijk ,Messi,Sterling,Alisson,Mane
Switzerland ,Van Dijk ,Bernardo Silva ,Messi,Lewandowski,De Jong
Syria ,Van Dijk ,Ronaldo ,Messi,Mbappe,Salah
Tahiti,Van Dijk,Messi ,Mane,Ronaldo,Salah
Tajikistan ,Messi ,Ronaldo ,Van Dijk,De Jong,Salah
Tanzania,Van Dijk ,Salah ,Mane,Firmino,Messi
Thailand ,Van Dijk ,Messi,Alisson,Sterling,Mane
Togo ,Van Dijk ,Ronaldo,Lloris,Messi,Mane
Tonga ,,,,,
Trinidad and Tobago,Messi ,Van Dijk,Bernardo Silva,Mane,Ronaldo
Tunisia ,Messi ,Van Dijk ,Ronaldo,Salah,Mahrez
Turkey ,Van Dijk ,Ronaldo ,Mbappe,Salah,Messi
Turkmenistan ,Messi ,De Jong ,Aguero,Mahrez,De Bruyne
Turks and Caicos Islands ,Van Dijk ,Messi ,Lewandowski,Bernardo Silva,Mane
Uganda ,Van Dijk ,Ronaldo ,Mane,Messi,Salah
Ukraine,Van Dijk ,Ronaldo ,Salah,Messi,Ter Stegen
United Arab Emirates ,Ronaldo ,Mahrez ,Salah,Mbappe,Lewandowski
Uruguay ,Messi ,Van Dijk ,Ronaldo ,Mbappe,Griezmann
USA ,Van Dijk ,Messi ,Ronaldo ,Sterling,Mane
Uzbekistan ,Van Dijk ,De Ligt ,Ronaldo ,Messi,Sterling
Venezuela ,Messi ,Ronaldo ,Van Dijk,Salah,Mbappe
Vietnam ,Van Dijk ,Ronaldo ,Messi,Mane,Alisso
Wales ,Messi ,Van Dijk ,Ronaldo ,Salah,De Ligt
Yemen ,Salah ,Mahrez ,Mane,Messi,Ronaldo
Zambia ,Van Dijk ,Ronaldo ,Mane,Messi,Sterling
Zimbabwe ,Mane ,Van Dijk ,Bernardo Silva,Salah,Messi
